pass,msqer
0, 0.00304593
1, 0.00247741
2, 0.00242338
3, 0.0023678
4, 0.00228136
5, 0.00215768
6, 0.00197379
7, 0.00183046
8, 0.00178236
9, 0.00175711
10, 0.00173359
11, 0.00171051
12, 0.00168971
13, 0.00167267
14, 0.00165984
15, 0.00165079
16, 0.0016446
17, 0.00164025
18, 0.00163684
19, 0.00163374
20, 0.00163058
21, 0.00162716
22, 0.0016235
23, 0.00161977
24, 0.00161622
25, 0.00161324
26, 0.00161122
27, 0.00161051
28, 0.00156646
29, 0.00155525
30, 0.00154847
31, 0.0015444
32, 0.0015423
33, 0.00154205
34, 0.00151422
35, 0.00150446
36, 0.00149838
37, 0.00149498
38, 0.0014937
39, 0.00148212
40, 0.00147426
41, 0.00146869
42, 0.00146499
43, 0.00146298
44, 0.00146253
45, 0.00145784
46, 0.00145173
47, 0.0014473
48, 0.00144433
49, 0.00144269
50, 0.00144233
51, 0.00144226
52, 0.00143737
53, 0.00143364
54, 0.00143098
55, 0.00142946
56, 0.00142893
57, 0.00143908
