pass,msqer
1, 0.00334141
2, 0.00309194
3, 0.00304566
4, 0.00301471
5, 0.00297133
6, 0.00286064
7, 0.00263661
8, 0.00244259
9, 0.00238906
10, 0.00237578
11, 0.00236081
12, 0.00233809
13, 0.00231043
14, 0.00228228
15, 0.00225687
16, 0.00223574
17, 0.00221919
18, 0.00220633
19, 0.00219512
20, 0.00218249
21, 0.00216671
22, 0.00214702
23, 0.00212201
24, 0.0020909
25, 0.00205783
26, 0.0020288
27, 0.00200418
28, 0.00198186
29, 0.00196074
30, 0.0019409
31, 0.00192277
32, 0.00190672
33, 0.00189289
34, 0.00188135
35, 0.00187216
36, 0.0018653
37, 0.00186028
38, 0.00185592
39, 0.00185076
40, 0.001844
41, 0.00183671
42, 0.00183243
43, 0.00178669
44, 0.00178591
45, 0.00177581
46, 0.00176338
47, 0.00175799
48, 0.00175635
49, 0.00174243
50, 0.00172961
51, 0.00172568
52, 0.00172536
53, 0.00171739
54, 0.00170679
55, 0.00170002
56, 0.00169603
57, 0.00169456
58, 0.00168766
59, 0.0016779
60, 0.00166998
61, 0.00166463
62, 0.00166176
63, 0.00166117
64, 0.00165345
65, 0.00164479
66, 0.00163778
67, 0.00163314
68, 0.00163074
69, 0.00163035
70, 0.00162268
71, 0.00161605
72, 0.00161052
73, 0.00160665
74, 0.00160451
75, 0.00160396
76, 0.0015973
77, 0.00159245
78, 0.00158821
79, 0.00158493
80, 0.00158284
81, 0.00158202
82, 0.00158198
83, 0.00157701
84, 0.00157298
85, 0.00156934
86, 0.0015665
87, 0.00156464
88, 0.00156363
89, 0.00156346
90, 0.00155963
91, 0.00155602
92, 0.00155304
93, 0.00155077
94, 0.0015494
95, 0.0015488
96, 0.00154534
97, 0.00154277
98, 0.00154055
99, 0.00153891
100, 0.00153783
101, 0.00153738
102, 0.0015337
103, 0.00153195
104, 0.00153028
105, 0.001529
106, 0.00152814
107, 0.00152771
108, 0.00152359
109, 0.00152247
110, 0.00152129
111, 0.00152026
112, 0.00151947
113, 0.00151895
114, 0.00151428
115, 0.0015138
116, 0.0015129
117, 0.00151203
118, 0.00151137
119, 0.00151083
120, 0.00151061
121, 0.00150634
122, 0.00150591
123, 0.001505
124, 0.0015042
125, 0.0015034
126, 0.00150282
127, 0.00150246
128, 0.00149851
129, 0.00149788
130, 0.00149703
131, 0.00149598
132, 0.00149505
133, 0.0014942
134, 0.00149358
135, 0.00149323
136, 0.00148967
137, 0.00148849
138, 0.00148695
139, 0.00148544
140, 0.00148386
141, 0.00148255
142, 0.00148174
143, 0.00148141
144, 0.00147717
145, 0.00147533
146, 0.00147332
147, 0.00147146
148, 0.00146994
149, 0.00146895
150, 0.00146855
151, 0.00146471
152, 0.00146306
153, 0.00146136
154, 0.00145985
155, 0.00145875
156, 0.00145821
157, 0.00145601
158, 0.00145477
159, 0.00145334
160, 0.00145208
161, 0.00145095
162, 0.00145008
163, 0.00144974
164, 0.00144861
165, 0.00144749
166, 0.00144623
167, 0.00144493
168, 0.00144378
169, 0.00144291
170, 0.00144263
171, 0.0014424
172, 0.00144124
173, 0.00144003
174, 0.00143886
175, 0.00143772
176, 0.00143685
177, 0.00143648
178, 0.00143064
179, 0.00143061
180, 0.00142536
181, 0.00142427
182, 0.00142352
183, 0.00142291
184, 0.0014224
185, 0.0014219
186, 0.00142143
187, 0.00142107
188, 0.00142063
189, 0.00142013
190, 0.00141975
191, 0.00141938
192, 0.00141895
193, 0.00141856
194, 0.00141819
195, 0.00141783
196, 0.00141745
197, 0.00141718
198, 0.00141682
199, 0.00141646
200, 0.00141614
