pass,msqer
1, 0.00635274
2, 0.00291073
3, 0.00281028
4, 0.00279209
5, 0.00275448
6, 0.00266757
7, 0.00252107
8, 0.00233731
9, 0.00215827
10, 0.00203814
11, 0.00196162
12, 0.00191482
13, 0.00188514
14, 0.00185758
15, 0.0018238
16, 0.00178011
17, 0.00172611
18, 0.00166717
19, 0.0016142
20, 0.00157496
21, 0.00154791
22, 0.00152579
23, 0.00150191
24, 0.00147338
25, 0.00144132
26, 0.00140971
27, 0.00138349
28, 0.00136629
29, 0.00135848
30, 0.00135758
31, 0.00130363
32, 0.00130038
33, 0.00126672
34, 0.00126572
35, 0.00124559
36, 0.00124549
37, 0.00123972
38, 0.00123872
39, 0.00123756
40, 0.00123644
41, 0.00123591
42, 0.00123591
43, 0.00123591
44, 0.00123591
45, 0.00123591
46, 0.00123591
47, 0.00123591
48, 0.00123591
49, 0.00123591
50, 0.00123591
51, 0.00123591
52, 0.00123591
53, 0.00123591
54, 0.00123591
55, 0.00123591
56, 0.00123591
57, 0.00123591
58, 0.00123591
59, 0.00123591
60, 0.00123591
61, 0.00123591
62, 0.00123591
63, 0.00123591
64, 0.00123591
65, 0.00123591
66, 0.00123591
67, 0.00123591
68, 0.00123591
69, 0.00123591
70, 0.00123591
71, 0.00123591
72, 0.00123591
73, 0.00123591
74, 0.00123591
75, 0.00123591
76, 0.00123591
77, 0.00123591
78, 0.00123591
79, 0.00123591
80, 0.00123591
81, 0.00123591
82, 0.00123591
83, 0.00123591
84, 0.00123591
85, 0.00123591
86, 0.00123591
87, 0.00123591
88, 0.00123591
89, 0.00123591
90, 0.00123591
91, 0.00123591
92, 0.00123591
93, 0.00123591
94, 0.00123591
95, 0.00123591
96, 0.00123591
97, 0.00123591
98, 0.00123591
99, 0.00123591
100, 0.00123591
101, 0.00123591
102, 0.00123591
103, 0.00123591
104, 0.00123591
105, 0.00123591
106, 0.00123591
107, 0.00123591
108, 0.00123591
109, 0.00123591
110, 0.00123591
111, 0.00123591
112, 0.00123591
113, 0.00123591
114, 0.00123591
115, 0.00123591
116, 0.00123591
117, 0.00123591
118, 0.00123591
119, 0.00123591
120, 0.00123591
121, 0.00123591
122, 0.00123591
123, 0.00123591
124, 0.00123591
125, 0.00123591
126, 0.00123591
127, 0.00123591
128, 0.00123591
129, 0.00123591
130, 0.00123591
131, 0.00123591
132, 0.00123591
133, 0.00123591
134, 0.00123591
135, 0.00123591
136, 0.00123591
137, 0.00123591
138, 0.00123591
139, 0.00123591
140, 0.00123591
141, 0.00123591
142, 0.00123591
143, 0.00123591
144, 0.00123591
145, 0.00123591
146, 0.00123591
147, 0.00123591
148, 0.00123591
149, 0.00123591
150, 0.00123591
151, 0.00123591
152, 0.00123591
153, 0.00123591
154, 0.00123591
155, 0.00123591
156, 0.00123591
157, 0.00123591
158, 0.00123591
159, 0.00123591
160, 0.00123591
161, 0.00123591
162, 0.00123591
163, 0.00123591
164, 0.00123591
165, 0.00123591
166, 0.00123591
167, 0.00123591
168, 0.00123591
169, 0.00123591
170, 0.00123591
171, 0.00123591
172, 0.00123591
173, 0.00123591
174, 0.00123591
175, 0.00123591
176, 0.00123591
177, 0.00123591
178, 0.00123591
179, 0.00123591
180, 0.00123591
181, 0.00123591
182, 0.00123591
183, 0.00123591
184, 0.00123591
185, 0.00123591
186, 0.00123591
187, 0.00123591
188, 0.00123591
189, 0.00123591
190, 0.00123591
191, 0.00123591
192, 0.00123591
193, 0.00123591
194, 0.00123591
195, 0.00123591
196, 0.00123591
197, 0.00123591
198, 0.00123591
199, 0.00123591
200, 0.00123591
